game_number	player_bankrupt	turn
749	Bob	38
749	Alice	43
749	Hero	52
748	Hero	62
748	Charly	71
748	Alice	72
751	Charly	49
751	Bob	62
751	Alice	64
752	Alice	16
752	Bob	17
752	Hero	17
755	Hero	31
755	Alice	32
755	Charly	34
753	Alice	34
753	Hero	45
753	Bob	51
754	Hero	22
754	Bob	28
754	Charly	47
756	Hero	34
756	Alice	45
756	Charly	50
757	Hero	73
757	Bob	75
757	Alice	89
759	Charly	34
759	Bob	35
759	Alice	62
760	Alice	34
760	Bob	36
760	Hero	50
758	Bob	114
758	Alice	116
758	Hero	121
762	Bob	59
762	Hero	65
762	Alice	80
763	Hero	50
763	Alice	55
763	Charly	65
765	Bob	20
765	Alice	36
765	Charly	39
767	Alice	41
767	Bob	43
767	Hero	44
769	Bob	50
769	Hero	57
769	Alice	59
772	Bob	45
772	Alice	63
772	Hero	65
774	Charly	56
774	Bob	72
774	Hero	76
775	Hero	22
775	Bob	24
775	Charly	28
776	Charly	115
776	Hero	118
776	Bob	153
781	Hero	15
781	Alice	22
781	Bob	24
780	Charly	55
780	Alice	59
780	Hero	69
779	Alice	74
779	Charly	74
779	Hero	77
782	Hero	31
782	Charly	32
782	Bob	38
778	Alice	89
778	Charly	109
778	Hero	113
783	Alice	44
783	Hero	50
783	Charly	54
790	Charly	54
790	Alice	59
790	Hero	62
788	Charly	57
788	Alice	81
788	Hero	140
791	Alice	40
791	Hero	42
791	Charly	54
792	Hero	60
792	Alice	61
792	Charly	63
793	Charly	47
793	Bob	63
793	Hero	74
794	Alice	27
794	Charly	30
794	Hero	42
796	Alice	30
796	Charly	34
796	Bob	35
797	Hero	33
797	Alice	47
797	Charly	52
798	Charly	44
798	Alice	58
798	Bob	66
799	Hero	46
799	Alice	52
800	Hero	40
800	Charly	44
800	Bob	63
802	Hero	36
802	Charly	38
802	Alice	44
803	Hero	36
803	Bob	41
803	Alice	45
804	Alice	38
804	Bob	41
804	Hero	47
806	Alice	30
806	Bob	68
806	Hero	90
807	Alice	66
807	Hero	81
807	Charly	86
808	Charly	29
808	Hero	65
808	Bob	69
809	Charly	24
809	Alice	32
809	Hero	39
812	Alice	49
812	Hero	52
812	Charly	60
813	Bob	25
813	Charly	37
813	Hero	44
819	Alice	52
819	Hero	66
819	Charly	69
821	Bob	34
821	Alice	43
821	Charly	54
822	Alice	68
822	Bob	76
822	Charly	87
823	Alice	41
823	Charly	45
823	Bob	52
815	Hero	678
826	Alice	48
826	Charly	61
826	Hero	76
827	Hero	27
827	Charly	50
827	Alice	84
829	Alice	34
829	Hero	41
